dist,tsne,gbm,rf
Germ Cell Tumor,PCNSL,PCNSL,PCNSL
PH/PG,Neuroblastoma,Neuroblastoma,PH/PG
Diffuse Glioma,Midline,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Diffuse Glioma,Diffuse Glioma
Neurofibroma,Neurofibroma,Ganglioneuroma,Neurofibroma
Neurofibroma,Neurofibroma,Ganglioneuroma,Neurofibroma
IDH Mutant,IDH Mutant,IDH Mutant,Diffuse Glioma
IDH Mutant,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,PA,Diffuse Glioma
PA,IDH Mutant,Midline,IDH Mutant
IDH Mutant,IDH Mutant,Midline,Diffuse Glioma
MB-SHH,MB-SHH,Retinoblastoma,MB-SHH
IDH Mutant,IDH Mutant,Midline,Midline
IDH Mutant,Midline,Midline,IDH Mutant
IDH Mutant,IDH Mutant,MB-SHH,Diffuse Glioma
IDH Mutant,Diffuse Glioma,PA,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
Diffuse Glioma,Diffuse Glioma,CNS,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Diffuse Glioma,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
CNS,CNS,Diffuse Glioma,CNS
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,DIG,Diffuse Glioma,Diffuse Glioma
Meningioma,Meningioma,AT/RT-TYR,Meningioma
Meningioma,Meningioma,Diffuse Glioma,Meningioma
Meningioma,Diffuse Glioma,Meningioma,Meningioma
Meningioma,Meningioma,Diffuse Glioma,Meningioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
IDH Mutant,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,IDH Mutant,IDH Mutant
IDH Mutant,IDH Mutant,IDH Mutant,CNS
Diffuse Glioma,PFA,IDH Mutant,PFA
PFA,PFA,IDH Mutant,PFA
Diffuse Glioma,Diffuse Glioma,IDH Mutant,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,IDH Mutant,IDH Mutant
Diffuse Glioma,Diffuse Glioma,G34 Mutant,Diffuse Glioma
Diffuse Glioma,Ganglioglioma,Diffuse Glioma,Diffuse Glioma
PA,Ganglioglioma,PA,PA
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
Diffuse Glioma,CNS,Germ Cell Tumor,CNS
Diffuse Glioma,Diffuse Glioma,HGNET-BCOR,Diffuse Glioma
PFA,PFA,Diffuse Glioma,PFA
PFA,RELA,RELA,RELA
PFA,PFA,Diffuse Glioma,PFA
RELA,PFA,RELA,RELA
Diffuse Glioma,EFT-CIC,Midline,Diffuse Glioma
Diffuse Glioma,Diffuse Glioma,RELA,Diffuse Glioma
Midline,Midline,Diffuse Glioma,Diffuse Glioma
Diffuse Glioma,Midline,Midline,Midline
Midline,Midline,PA,Midline
CNS,IDH Mutant,CNS,CNS
Diffuse Glioma,PXA,RELA,Diffuse Glioma
MB-GP4,MB-GP4,MB-GP3,MB-GP3
MB-GP4,MB-GP4,MB-GP4,MB-GP3
CNS,IDH Mutant,CNS,CNS
Ganglioglioma,Ganglioglioma,PA,PA
Ganglioglioma,Ganglioglioma,PA,PA
Ganglioglioma,Ganglioglioma,PA,PA
Ganglioglioma,Ganglioglioma,PA,Ganglioglioma
Ganglioglioma,Ganglioglioma,PA,PA
PA,Ganglioglioma,PA,PA
Diffuse Glioma,Diffuse Glioma,Angiocentric,Diffuse Glioma
Ada. Cranio.,Ada. Cranio.,Neurofibroma,PCNSL
Diffuse Glioma,Diffuse Glioma,Ganglioglioma,Diffuse Glioma
PFA,RELA,RELA,RELA
PFA,PFA,Diffuse Glioma,PFA
RELA,PFA,RELA,RELA
Diffuse Glioma,Diffuse Glioma,Midline,Diffuse Glioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
Meningioma,Meningioma,Diffuse Glioma,Meningioma
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
CNS,IDH Mutant,CNS,CNS
CNS,CNS,Diffuse Glioma,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
Uveal Melanoma,Diffuse Glioma,MB-SHH,Diffuse Glioma
Uveal Melanoma,Retina,Uveal Melanoma,Uveal Melanoma
CNS,CNS,Ada. Cranio.,CNS
Diffuse Glioma,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,CNS,IDH Mutant
IDH Mutant,IDH Mutant,CNS,CNS
CNS,Cerebellum,Cerebellum,CNS
IDH Mutant,IDH Mutant,PA,PA
Diffuse Glioma,PA,PA,PA
PA,IDH Mutant,PA,PA
PA,IDH Mutant,PA,PA
CNS,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,IDH Mutant,CNS
IDH Mutant,IDH Mutant,PA,IDH Mutant
CNS,CNS,Diffuse Glioma,CNS
Diffuse Glioma,IDH Mutant,IDH Mutant,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,CNS
PA,IDH Mutant,IDH Mutant,IDH Mutant
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
CNS,IDH Mutant,IDH Mutant,CNS
PA,PA,PA,Diffuse Glioma
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,PA,IDH Mutant
CNS,IDH Mutant,CNS,CNS
IDH Mutant,IDH Mutant,Diffuse Glioma,IDH Mutant
IDH Mutant,IDH Mutant,Diffuse Glioma,Diffuse Glioma
CNS,IDH Mutant,CNS,CNS
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
IDH Mutant,IDH Mutant,CNS,IDH Mutant
Diffuse Glioma,IDH Mutant,Diffuse Glioma,Diffuse Glioma
PA,IDH Mutant,IDH Mutant,IDH Mutant
